file	size_bytes	sha256	completed_at
model-00036-of-00047.safetensors	6438374332	6a9b74a507f58126697f9c2dc35c006fffb3415a7eb7d4c892014adb38637a1b	2026-06-24T21:17:21Z
model-00041-of-00047.safetensors	6442164108	e0810f399d420ca35834ccc937727b03432f47670aad1cb3e1a7e5d85acfb40f	2026-06-24T21:19:32Z
model-00039-of-00047.safetensors	6434155920	a1d1453e11d36a87d26ad8aeede592acd971aca8f0d2f6b53808f6b2df665430	2026-06-24T21:19:45Z
model-00040-of-00047.safetensors	6438374460	24354411e3ce03333e135889b1635cfc4614fe008b6acf4bfc7707bb7ef3f5ec	2026-06-24T21:19:58Z
model-00042-of-00047.safetensors	6438373692	ff9b48d7c9835e2c7f70a4231db22978a54dc21ba4cb0b8c35ebc7a48905bfa8	2026-06-24T21:20:55Z
model-00047-of-00047.safetensors	2302335126	168150d6d2ff277f0cbf99db0bb11074d180b3eaf17c819745579f6d702d0c57	2026-06-24T21:22:03Z
model-00043-of-00047.safetensors	6442164020	d4b16d76af78a476aeed0f2921f6abdfa85e7c5f80cddff52cbb095b6697e7b4	2026-06-24T21:22:06Z
model-00038-of-00047.safetensors	6391825756	e1b7e8200799508636df8d15c4699a35fa5d793bc721a5282753fb2564971aa3	2026-06-24T21:23:29Z
model-00044-of-00047.safetensors	6438373684	c26eb8c8eb50990f2cd0b570084067761d970adb5fda0dccf718d4506cf528bc	2026-06-24T21:23:42Z
model-00045-of-00047.safetensors	6442164020	b567edbd26b033f1c7fc290300436ef352e9f75a432adc62c6b618f4b827b291	2026-06-24T21:30:04Z
model-00046-of-00047.safetensors	6442037972	11e0cc5e7453b5b328ff743c39eebd5afd81acf628329db7ac89a72ad81986cb	2026-06-24T21:31:24Z
